四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
珠箔因风起 飞蛾入最能 不教人夜作 方便杀明灯
敛眉语芳草 何许太无情 正见离人别 春心相向生
河水浮落花 花流东不息 应见浣纱人 为道长相忆
日暮苍山远 天寒白屋贫 柴门闻犬吠 风雪夜归人
朝无寒士达 家在旧山贫 相送天涯里 怜君更远人
群公谁让位 五柳独知贫 惆怅青山路 烟霞老此人
初迷武陵路 复出孟尝门 回首江南岸 青山与旧恩
月明花满地 君自忆山阴 谁遣因风起 纷纷乱此心
帝子不可见 秋风来暮思 婵娟湘江月 千载空蛾眉
苍梧千载后 斑竹对湘沅 欲识湘妃怨 枝枝满泪痕
君王不可见 芳草旧宫春 犹带罗裙色 青青向楚人
憔悴逢新岁 茅扉见旧春 朝来明镜里 不忍白头人
片帆何处去 匹马独归迟 惆怅江南北 青山欲暮时
归人乘野艇 带月过江村 正落寒潮水 相随夜到门
不知方外客 何事锁空房 应向桃源里 教他唤阮郎
泠泠七丝上 静听松风寒 古调虽自爱 今人多不弹
此地常无日 青青独在阴 太阳偏不及 非是未倾心
百丈深涧里 过时花欲妍 应缘地势下 遂使春风偏
悠悠白云里 独住青山客 林下昼焚香 桂花同寂寂
孤云将野鹤 岂向人间住 莫买沃洲山 时人已知处
苍苍竹林寺 杳杳钟声晚 荷笠带夕阳 青山独归远
荒凉野店绝 迢递人烟远 苍苍古木中 多是隋家苑
楚城今近远 积霭寒塘暮 水浅舟且迟 淮潮至何处
空洲夕烟敛 望月秋江里 历历沙上人 月中孤渡水
与君为近别 不啻远相思 落日平湖上 看山对此时
眼病身亦病 浮生已半空 迢迢千里月 应与惠连同
公子三千客 人人愿报恩 应怜抱关者 贫病老夷门
别愁复经雨 别泪还如霰 寄心海上云 千里常相见
四海重然诺 吾尝闻白眉 秦城游侠客 相得半酣时
日暮田家远 山中勿久淹 归人须早去 稚子望陶潜
岘首风湍急 云帆若鸟飞 凭轩试一问 张翰欲来归
游人武陵去 宝剑直千金 分手脱相赠 平生一片心
君登青云去 予望青山归 云山从此别 泪湿薜萝衣
碧溪常共赏 朱邸忽迁荣 豫有相思意 闻君琴上声
异俗非乡俗 新年改故年 蓟门看火树 疑是烛龙燃
绮席铺兰杜 珠盘折芰荷 故园留不住 应是恋弦歌
北涧流恒满 浮舟触处通 沿洄自有趣 何必五湖中
春眠不觉晓 处处闻啼鸟 夜来风雨声 花落知多少
洛阳访才子 江岭作流人 闻说梅花早 何如北地春
行至菊花潭 村西日已斜 主人登高去 鸡犬空在家
花伴成龙竹 池分跃马溪 田园人不见 疑向洞中栖
北固临京口 夷山近海滨 江风白浪起 愁杀渡头人
珠弹繁华子 金羁游侠人 酒酣白日暮 走马入红尘
八月观潮罢 三江越海浔 回瞻魏阙路 空复子牟心
移舟泊烟渚 日暮客愁新 野旷天低树 江清月近人
向夕问舟子 前程复几多 湾头正堪泊 淮里足风波
客醉眠未起 主人呼解酲 已言鸡黍熟 复道瓮头清
相逢红尘内 高揖黄金鞭 万户垂杨里 君家阿那边
玉阶生白露 夜久侵罗袜 却下水晶帘 玲珑望秋月
白玉谁家郎 回车渡天津 看花东陌上 惊动洛阳人
金花折风帽 白马小迟回 翩翩舞广袖 似鸟海东来
金绳界宝地 珍木荫瑶池 云间妙音奏 天际法蠡吹
床前明月光 疑是地上霜 举头望明月 低头思故乡
渌水明秋月 南湖采白蘋 荷花娇欲语 愁杀荡舟人
海客乘天风 将船远行役 譬如云中鸟 一去无踪迹
昨夜梁园里 弟寒兄不知 庭前看玉树 肠断忆连枝
同州隔秋浦 闻吟猛虎词 晨朝来借问 知是谢杨儿
肠断枝上猿 泪添山下樽 白云见我去 亦为我飞翻
食出野田美 酒临远水倾 东流若未尽 应见别离情
东林送客处 月出白猿啼 笑别庐山远 何烦过虎溪
携妓东山去 春光半道催 遥看若桃李 双入镜中开
水国秋风夜 殊非远别时 长安如梦里 何日是归期
白鹭拳一足 月明秋水寒 人惊远飞去 直向使君滩
领得乌纱帽 全胜白接蓠 山人不照镜 稚子道相宜
我爱铜官乐 千年未拟还 要须回舞袖 拂尽五松山
九日龙山饮 黄花笑逐臣 醉看风落帽 舞爱月留人
昨日登高罢 今朝更举觞 菊花何太苦 遭此两重阳
南登杜陵上 北望五陵间 秋水明落日 流光灭远山
早起见日出 暮见栖鸟还 客心自酸楚 况对木瓜山
船下广陵去 月明征虏亭 山花如绣颊 江火似流萤
昨日东楼醉 还应倒接蓠 阿谁扶上马 不省下楼时
羌笛梅花引 吴溪陇水情 寒山秋浦月 肠断玉关声
懒摇白羽扇 裸体青林中 脱巾挂石壁 露顶洒松风
我似鹧鸪鸟 南迁懒北飞 时寻汉阳令 取醉月中归
众鸟高飞尽 孤云独去闲 相看两不厌 只有敬亭山
对酒不觉暝 落花盈我衣 醉起步溪月 鸟还人亦稀
欲向江东去 定将谁举杯 稽山无贺老 却棹酒船回
贾谊三年谪 班超万里侯 何如牵白犊 饮水对清流
落羽辞金殿 孤鸣咤绣衣 能言终见弃 还向陇西飞
紫藤挂云木 花蔓宜阳春 密叶隐歌鸟 香风留美人
惭君能卫足 叹我远移根 白日如分照 还归守故园
白鹭下秋水 孤飞如坠霜 心闲且未去 独立沙洲傍
天下伤心处 劳劳送客亭 春风知别苦 不遣柳条青
美人卷珠帘 深坐颦蛾眉 但见泪痕湿 不知心恨谁
三百六十日 日日醉如泥 虽为李白妇 何异太常妻
玉面耶溪女 青娥红粉妆 一双金齿屐 两足白如霜
巴水急如箭 巴船去若飞 十月三千里 郎行几岁归
纪叟黄泉里 还应酿老春 夜台无晓日 沽酒与何人
燕谷无暖气 穷岩闭严阴 邹子一吹律 能回天地心
素面倚栏钩 娇声出外头 若非是织女 何得问牵牛
芳园知夕燕 西郊已独还 谁言不同赏 俱是醉花间
山高鸣过雨 涧树落残花 非关春不待 当由期自赊
思怀在云阙 泊素守中林 出处虽殊迹 明月两知心
风光山郡少 来看广陵春 残花犹待客 莫问意中人
秋山僧冷病 聊寄三五杯 应泻山瓢里 还寄此瓢来
复寄满瓢去 定见空瓢来 若不打瓢破 终当费酒材
此瓢今已到 山瓢知已空 且饮寒塘水 遥将回也同
念子抱沉疾 霜露变滁城 独此高窗下 自然无世情
林院生夜色 西廊上纱灯 时忆长松下 独坐一山僧
柳叶遍寒塘 晓霜凝高阁 累日此流连 别来成寂寞
遥知郡斋夜 冻雪封松竹 时有山僧来 悬灯独自宿
淅沥覆寒骑 飘飖暗川容 行子郡城晓 披云看杉松
僧斋地虽密 忘子迹要赊 一来非问讯 自是看山花
怀君属秋夜 散步咏凉天 山空松子落 幽人应未眠
少年游太学 负气蔑诸生 蹉跎三十载 今日海隅行
满城怜傲吏 终日赋新诗 请报淮阴客 春帆浪作期
专城未四十 暂谪岂蹉跎 风雨吴门夜 恻怆别情多
远听江上笛 临觞一送君 还愁独宿夜 更向郡斋闻
郡阁始嘉宴 青山忆旧居 为君量革履 且愿住蓝舆
深夜竹亭雪 孤灯案上书 不遇无为化 谁复得闲居
野寺望山雪 空斋对竹林 我以养愚地 生君道者心
暂与云林别 忽陪鸳鹭翔 看山不得去 知尔独相望
去马嘶春草 归人立夕阳 元知数日别 要使两情伤
斜月才鉴帷 凝霜偏冷枕 持情须耿耿 故作单床寝
白云埋大壑 阴崖滴夜泉 应居西石室 月照山苍然
存亡三十载 事过悉成空 不惜沾衣泪 并话一宵中
独鸟下高树 遥知吴苑园 凄凉千古事 日暮倚阊门
兹楼日登眺 流岁暗蹉跎 坐厌淮南守 秋山红树多
残霞照高阁 青山出远林 晴明一登望 潇洒此幽襟
园林过新节 风花乱高阁 遥闻击鼓声 蹴鞠军中乐
高阁一长望 故园何日归 烟尘拥函谷 秋雁过来稀
南楼夜已寂 暗鸟动林间 不见城郭事 沉沉唯四山
怅然高阁望 已掩东城关 春风偏送柳 夜景欲沉山
乾坤有精物 至宝无文章 雕琢为世器 真性一朝伤
秋荷一滴露 清夜坠玄天 将来玉盘上 不定始知圆
映物随颜色 含空无表里 持来向明月 的皪愁成水
绛树无花叶 非石亦非琼 世人何处得 蓬莱石上生
有色同寒冰 无物隔纤玉 象筵看不见 堪将对玉人
曾为老茯神 本是寒松液 蚊蚋落其中 千年犹可觌
军中始吹角 城上河初落 深沉犹隐帷 晃朗先分阁
明从何处去 暗从何处来 但觉年年老 半是此中催
万物自生听 太空恒寂寥 还从静中起 却向静中消
世事日可见 身名良蹉跎 尚瞻白云岭 聊作负薪歌
香炉宿火灭 兰灯宵影微 秋斋独卧病 谁与覆寒衣
山月皎如烛 风霜时动竹 夜半鸟惊栖 窗间人独宿
高阁渐凝露 凉叶稍飘闱 忆在南宫直 夜长钟漏稀
裴回轻雪意 似惜艳阳时 不悟风花冷 翻令梅柳迟
独照碧窗久 欲随寒烬灭 幽人将遽眠 解带翻成结
杂英纷已积 含芳独暮春 还如故园树 忽忆故园人
时节变衰草 物色近新秋 度月影才敛 绕竹光复流
叶有苦寒色 山中霜霰多 虽此蒙阳景 移根意如何
参差剪绿绮 潇洒覆琼柯 忆在沣东寺 偏书此叶多
郡中卧病久 池上一来赊 榆柳飘枯叶 风雨倒横查
势从千里奔 直入江中断 岚横秋塞雄 地束惊流满
失侣度山觅 投林舍北啼 今将独夜意 偏知对影栖
故园眇何处 归思方悠哉 淮南秋雨夜 高斋闻雁来
不寐倦长更 披衣出户行 月寒秋竹冷 风切夜窗声
一为吴郡守 不觉菊花开 始有故园思 且喜众宾来
都护新灭胡 士马气亦粗 萧条虏尘净 突兀天山孤
富贵情还在 相逢岂间然 绨袍更有赠 犹荷故人怜
夫子素多疾 别来未得书 北庭苦寒地 体内今何如
醉后未能别 待醒方送君 看君走马去 直上天山云
五粒松花酒 双谿道士家 唯求缩却地 乡路莫教赊
结宇题三藏 焚香老一峰 云间独坐卧 只是对山松
高住最高处 千家恒眼前 题诗饮酒后 只对诸峰眠
野寺荒台晚 寒天古木悲 空阶有鸟迹 犹似造书时
沙上见日出 沙上见日没 悔向万里来 功名是何物
渭水东流去 何时到雍州 凭添两行泪 寄向故园流
陇水何年有 潺潺逼路傍 东西流不歇 曾断几人肠
那知芳岁晚 坐见寒叶堕 吾不如腐草 翻飞作萤火
强欲登高去 无人送酒来 遥怜故园菊 应傍战场开
来亦一布衣 去亦一布衣 羞见关城吏 还从旧路归
白发生偏速 交人不奈何 今朝两鬓上 更较数茎多
此地曾居住 今来宛似归 可怜汾上柳 相见也依依
帝乡北近日 泸口南连蛮 何当遇长房 缩地到京关
日暮远天青 霜风入后庭 洞房寒未掩 砧杵夜泠泠
净扫黄金阶 飞霜皓如雪 下帘弹箜篌 不忍见秋月
莫向嵩山去 神仙多误人 不如朝魏阙 天子重贤臣
抱玉三朝楚 怀书十上秦 年年洛阳陌 花鸟弄归人
四海游长倦 百年愁半侵 赖窥明镜里 时见丈夫心
幽人惜春暮 潭上折芳草 佳期何时还 欲寄千里道
白日依山尽 黄河入海流 欲穷千里目 更上一重楼
自君之出矣 弦吹绝无声 思君如百草 撩乱逐春生
自觉劳乡梦 无人见客心 空馀庭草色 日日伴愁襟
疏钟何处来 度竹兼拂水 渐逐微风声 依依犹在耳
江南渌水多 顾影逗轻波 落日秦云里 山高奈若何
闻说到扬州 吹箫忆旧游 人来多不见 莫是上迷楼
还乡不见家 年老眼多泪 车马上河桥 城中好天气
漾漾带山光 澄澄倒林影 那知石上喧 却忆山中静
尚有绨袍赠 应怜范叔寒 不知天下士 犹作布衣看
积雪与天迥 屯军连塞愁 谁知此行迈 不为觅封侯
耕地桑柘间 地肥菜常熟 为问葵藿资 何如庙堂肉
红颜怆为别 白发始相逢 唯馀昔时泪 无复旧时容
出门何所见 春色满平芜 可叹无知己 高阳一酒徒
柳色惊心事 春风厌索居 方知一杯酒 犹胜百家书
州县才难适 云山道欲穷 揣摩惭黠吏 栖隐谢愚公
百年已过半 秋至转饥寒 为问彭州牧 何时救急难
百宝装腰带 真珠络臂鞲 笑时花近眼 舞罢锦缠头
江边踏青罢 回首见旌旗 风起春城暮 高楼鼓角悲
东来万里客 乱定几年归 肠断江城雁 高高正北飞
为嗔王录事 不寄草堂赀 昨属愁春雨 能忘欲漏时
雨后过畦润 花残步屐迟 把文惊小陆 好客见当时
遗庙丹青落 空山草木长 犹闻辞后主 不复卧南阳
功盖三分国 名高八阵图 江流石不转 遗恨失吞吴
三月雪连夜 未应伤物华 只缘春欲尽 留著伴梨花
白马紫连钱 嘶鸣丹阙前 闻珂自蹀躞 不要下金鞭
舞怯铢衣重 笑疑桃脸开 方知汉成帝 虚筑避风台
夜月霁未好 云泉堪梦归 如何建章漏 催著早朝衣
月黑雁飞高 单于夜遁逃 欲将轻骑逐 大雪满弓刀
谤言三至后 直道叹何如 今日蓝溪水 无人不夜鱼
一官叨下秩 九棘谢知音 芳草文园路 春愁满别心
燕赵悲歌士 相逢剧孟家 寸心言不尽 前路日将斜
轩骑来相访 渔樵悔晚归 更怜垂露迹 花里点墙衣
不见承明客 愁闻长乐钟 马卿何早世 汉主欲登封
野竹通溪冷 秋泉入户鸣 乱来人不到 芳草上阶生
采菊偏相忆 传香寄便风 今朝竹林下 莫使桂尊空
艳静如笼月 香寒未逐风 桃花徒照地 终被笑妖红
药径深红藓 山窗满翠微 羡君花下酒 蝴蝶梦中飞
望山登春台 目尽趣难极 晚景下平阡 花际霞峰色
静宜樵隐度 远与车马隔 有时行药来 喜遇归山客
片霞照仙井 泉底桃花红 那知幽石下 不与武陵通
引蔓出云树 垂纶覆巢鹤 幽人对酒时 苔上闲花落
池上静难厌 云间欲去晚 忽背夕阳飞 乘兴清风远
几转到青山 数重度流水 秦人入云去 知向桃源里
春畦生百药 花叶香初霁 好容似风光 偏来入丛蕙
净与溪色连 幽宜松雨滴 谁知古石上 不染世人迹
远岫见如近 千里一窗里 坐来石上云 乍谓壶中起
暗归草堂静 半入花园去 有时载酒来 不与清风遇
幽鸟清涟上 兴来看不足 新篁压水低 昨夜鸳鸯宿
穿云来自远 激砌流偏驶 能资庭户幽 更引海禽至
乍依菱蔓聚 尽向芦花灭 更喜好风来 数片翻晴雪
风送出山钟 云霞度水浅 欲知声尽处 鸟灭寥天远
永日兴难望 掇芳春陂曲 新晴花枝下 爱此苔水绿
临池构杏梁 待客归烟塘 水上褰帘好 莲开杜若香
有意莲叶间 瞥然下高树 擘波得潜鱼 一点翠光去
幽石生芙蓉 百花惭美色 远笑越溪女 闻芳不可识
乱石跳素波 寒声闻几处 飕飕暝风引 散出空林去
虽因朔风至 不向瑶台侧 唯助苦寒松 偏明后凋色
田鹤望碧霄 舞风亦自举 单飞后片雪 早晚及前侣
家住凤城南 门临古陂曲 时怜上林雁 半入池塘宿
岁去人头白 秋来树叶黄 搔头向黄叶 与尔共悲伤
调与时人背 心将静者论 终年帝城里 不识五侯门
辽阳望河县 白首无由见 海上珊瑚枝 年年寄春燕
人日兼春日 长怀复短怀 遥知双彩胜 并在一金钗
经月愁闻雨 新年苦忆君 何时共登眺 整屐待晴云
重门敞春夕 灯烛霭馀辉 醉我百尊酒 留连夜未归
封疆七百里 禄秩二千石 拥节祠太山 寒天霜草白
碧玉徒强名 冰壶难比德 唯当寂照心 可并奫沦色
知有前期在 欢如此夜中 无将故人酒 不及古淳风
入谷多春兴 乘舟棹碧浔 山云昨夜雨 溪水晓来深
旧国迷江树 他乡近海门 移家南渡久 童稚解方言
桂水饶枫杉 荆南足烟雨 犹疑黛色中 复是雒阳岨
朝见巴江客 暮见巴江客 云帆傥暂停 中路阳台夕
落日事搴陟 西南投一峰 诚知秋水浅 但怯无人踪
长信多秋气 昭阳借月华 那堪闭永巷 闻道选良家
接影武昌城 分行汉南道 何事闲门外 空对青山老
少室尽西峰 鸣皋隐南面 柴门纵复关 终日窗中见
上路各乘轩 高明尽鸣玉 宁知涧下人 自爱轻波渌
草遍颍阳山 花开武陵水 春色既已同 人心亦相似
山馆长寂寂 闲云朝夕来 空庭复何有 落日照青苔
嫩叶生初茂 残花少更鲜 结根龙藏侧 故欲并青莲
西塞云山远 东风道路长 人心胜潮水 相送过浔阳
花枝出建章 凤管发昭阳 借问承恩者 双蛾几许长
春风来几日 先入辟疆园 身外无馀事 闲吟昼闭门
湘水风日满 楚山朝夕空 连峰虽已见 犹念长云中
散点空阶下 闲凝细雨中 那能久相伴 嗟尔殢秋风
海岸耕残雪 溪沙钓夕阳 客中何所有 春草渐看长
高山迥欲登 远水深难渡 杳杳复漫漫 行人别家去
千年古貌多 八月秋涛晚 偶被主人留 那知来近远
巧解逢人笑 还能乱蝶飞 春时风入户 几片落朝衣
行随新树深 梦隔重江远 迢递风日间 苍茫洲渚晚
细草亦全高 秋毫乍堪比 及至干霄日 何人复居此
欲逐淮潮上 暂停渔子沟 相望知不见 终是屡回头
霜风惊度雁 月露皓疏林 处处砧声发 星河秋夜深
放溜出江口 回瞻松栝深 不知舟中月 更引湖间心
夜雨须停棹 秋风暗入衣 见君尝北望 何事却南归
南桥春日暮 杨柳带青渠 不得同携手 空成意有馀
陇首怨西征 岭南雁北顾 行人与流水 共向闽中去
从来无检束 只欲老烟霞 鸡犬声相应 深山有几家
底事洪泽壁 空留黄绢词 年年淮水上 行客不胜悲
夜夜梦莲宫 无由见远公 朝来出门望 知在雪山中
落日晴江里 荆歌艳楚腰 采莲从小惯 十五即乘潮
梦里君王近 宫中河汉高 秋风能再热 团扇不辞劳
新作蛾眉样 谁将月里同 有来凡几日 相效满城中
飞雪带春风 裴回乱绕空 君看似花处 偏在洛阳东
佳人成古石 藓驳覆花黄 犹有春山杏 枝枝似薄妆
独坐贡闱里 愁心芳草生 山公昨夜事 应见此时情
白日依山尽 黄河入海流 欲穷千里目 更上一层楼
杨柳东风树 青青夹御河 近来攀折苦 应为别离多
投珠恐见疑 抱玉但垂泣 道在君不举 功成叹何及
银钥开香阁 金台照夜灯 长征君自惯 独卧妾何曾
洪炉无久停 日月速若飞 忽然冲人身 饮酒不须疑
归梦如春水 悠悠绕故乡 驻马渡江处 望乡待归舟
六月度开云 三峰玩山翠 尔时黄绶屈 别后青云致
繁阴乍隐洲 落叶初飞浦 萧萧楚客帆 暮入寒江雨
楚塞望苍然 寒林古戍边 秋风人渡水 落日雁飞天
北林夜方久 南月影频移 何啻飞三匝 犹言未得枝
北邙不种田 但种松与柏 松柏未生处 留待市朝客
久是烟霞客 潭深钓得鱼 不知芸阁上 遗校几多书
稷契今为相 明君复为尧 宁知买臣困 犹负会稽樵
阮客身何在 仙云洞口横 人间不到处 今日此中行
明月双溪水 清风八咏楼 昔年为客处 今日送君游
江南季春天 莼叶细如弦 池边草作径 湖上叶如船
醉中还有梦 身外已无心 明镜唯知老 青山何处深
觉地本随身 灵山重结因 如何战鸟佛 不化捕鱼人
此观十年游 此房千里宿 还来旧窗下 更取君书读
东瓯传旧俗 风日江边好 何处乐神声 夷歌出烟岛
凄清回泊夜 沦波激石响 村边草市桥 月下罟师网
谁家无春酒 何处无春鸟 夜宿桃花村 踏歌接天晓
宛转若游丝 浅深栽绿崦 年年立春后 即被啼莺占
空山无鸟迹 何物如人意 委曲结绳文 离披草书字
薜荔作禅庵 重叠庵边树 空山径欲绝 也有人知处
风摆莲衣干 月背鸟巢寒 文鱼翻乱叶 翠羽上危栏
湛湛碧涟漪 老松欹侧卧 悠扬绿萝影 下拂波纹破
新茶已上焙 旧架忧生醭 旋旋续新烟 呼儿劈寒木
谷中谁弹琴 琴响谷冥寂 因君扣商调 草虫惊暗壁
靃靡汀草碧 淋森鹭毛白 夜起沙月中 思量捕鱼策
终日吟天风 有时天籁止 问渠何旨意 恐落凡人耳
时菊凝晓露 露华滴秋湾 仙人酿酒熟 醉里飞空山
采藕平湖上 藕泥封藕节 船影入荷香 莫冲莲柄折
引烛踏仙泥 时时乱乳燕 不知何道士 手把灵书卷
吹沙复喷石 曲折仍圆旋 野客漱流时 杯粘落花片
远山谁放烧 疑是坛边醮 仙人错下山 拍手坛边笑
遥闻林下语 知是经行所 日暮香风时 诸天散花雨
五十馀年别 伶俜道不行 却来书处在 惆怅似前生
故人行迹灭 秋草向南悲 不欲频回步 孀妻正哭时
百舌春来哑 愁人共待晴 不关秋水事 饮恨亦无声
悠悠南国思 夜向江南泊 楚客断肠时 月明枫子落
园莺啼已倦 树树陨香红 不是春相背 当由己自翁
苇萧中辟户 相映绿淮流 莫讶春潮阔 鸥边可泊舟
昔别吴堤雨 春帆去较迟 江波千里绿 □□□□□
凉月挂层峰 萝林落叶重 掩关深畏虎 风起撼长松
高阁成长望 江流雁叫哀 凄凉故吴事 麋鹿走荒台
江清白鸟斜 荡桨罥蘋花 听唱菱歌晚 回塘月照沙
采莲溪上女 舟小怯摇风 惊起鸳鸯宿 水云撩乱红
带水摘禾穗 夜捣具晨炊 县帖取社长 嗔怪见官迟
不爇香炉烟 蒲团坐如铁 尝想同夜禅 风堕松顶雪
白石盘盘磴 清香树树梅 山深不吟赏 辜负委苍苔
闻道昭阳宴 嚬蛾落叶中 清歌逐寒月 遥夜入深宫
反照入闾巷 忧来与谁语 古道无人行 秋风动禾黍
高秋夜分后 远客雁来时 寂寞重门掩 无人问所思
双林花已尽 叶色占残芳 若问同游客 高年最断肠
匹马晓路归 悠悠渭川道 晴山向孤城 秋日满白草
开帘见新月 便即下阶拜 细语人不闻 北风吹裙带
旅行虽别路 日暮各思归 欲下今朝泪 知君亦湿衣
白首独一身 青山为四邻 虽行故乡陌 不见故乡人
孔融过五十 海内故人稀 相府恩犹在 知君未拂衣
送客攀花后 寻僧坐竹时 明朝莫回望 青草马行迟
虽过老人宅 不解老人心 何事斜阳里 栽松欲待阴
忆昨秋风起 君曾叹逐臣 何言芳草日 自作九泉人
旧友无由见 孤坟草欲长 月斜邻笛尽 车马出山阳
白发匆匆色 青山草草心 远公仍下世 从此别东林
手把杏花枝 未曾经别离 黄昏掩门后 寂寞自心知
千种庭前树 人移树不移 看花愁作别 不及未栽时
禁琐天浆嫩 虞行夜月寒 一瓢那可醉 应遣试尝看
匣中三尺剑 天上少微星 勿谓相去远 壮心曾不停
古有弓旌礼 今征草泽臣 方同白衣见 不是弃繻人
华亭不相识 卫国复谁知 怅望冲天羽 甘心任画师
海上神山绿 溪边杏树红 不知何处去 月照玉楼空
莫问苍梧远 而今世路难 胡尘不到处 即是小长安
丈夫不感恩 感恩宁有泪 心头感恩血 一滴染天地
临风脱佩剑 相劝静胡尘 自料无筋力 何由答故人
敝邑连山远 仙舟数刻同 多惭屡回首 前路在泥中
后会知不远 今欢亦愿留 江天梅雨散 况在月中楼
自公来问易 不复待加年 更有垂帘会 遥知续草玄
阳春已三日 会友闻昨夜 可爱剡溪僧 独寻陶景舍
回转沙岸近 欹斜林岭重 因君访遗迹 此日见真龙
汉宫若远近 路在寒沙上 到死不得归 何人共南望
寒郊好天气 劝酒莫辞频 扰扰钟陵市 无穷不醉人
西塞云山远 东风道路长 人心胜潮水 相送过浔阳
偶来人境外 何处染嚣尘 倘许栖林下 僧中老此身
麋鹿自成群 何人到白云 山中无外事 终日醉醺醺
白发千茎雪 寒窗懒著书 最怜吟苜蓿 不及向桑榆
夜静河汉高 独坐庭前月 忽起故园思 动作经年别
垂柳万条丝 春来织别离 行人攀折处 闺妾断肠时
明月临沧海 闲云恋故山 诗名满天下 终日掩柴关
谪戍孤城小 思家万里遥 汉廷求卫霍 剑珮上青霄
野水连天碧 峰峦入海青 沧浪者谁子 一曲醉中听
饮露身何洁 吟风韵更长 斜阳千万树 无处避螳螂
拔翠五云中 擎天不计功 谁能凌绝顶 看取日升东
雨湿松阴凉 风落松花细 独鹤爱清幽 飞来不飞去
一公持一钵 相复度遥岑 地瘦无黄独 春来草更深
为忆去年梅 凌寒特地来 门前空腊尽 浑未有花开
西崦水泠泠 沿冈有游亭 自从春草长 遥见只青青
此意无所欲 闭门风景迟 柳条将白发 相对共垂丝
北人归欲尽 犹自住萧山 闭户不曾出 诗名满世间
画鹢春风里 迢遥去若飞 那能寄相忆 不并子猷归
沅水连湘水 千波万浪中 知郎未得去 惭愧石尤风
江明雨初歇 山暗云犹湿 未可动归桡 前程风浪急
文案日成堆 愁眉拽不开 偷归瓮间卧 逢个楚狂来
丝管霜天夜 烟尘淮水西 明朝上征去 相伴醉如泥
不作十日别 烦君此相留 雨馀江上月 好醉竹间楼
上国杳未到 流年忽复新 回车不自识 君定送何人
离亭一会宿 能有几人同 莫以回车泣 前途不尽穷
西南积水远 老病喜生归 此地故人别 空馀泪满衣
夜光贮怀袖 待报一顾恩 日向江湖老 此心谁为论
浪息定何时 龙门到恐迟 轻舟不敢渡 空立望旌旗
沅湘流不尽 屈宋怨何深 日暮秋烟起 萧萧枫树林
湘山千岭树 桂水九秋波 露重猿声绝 风清月色多
佳山路不远 俗侣到常稀 及此烟霞暮 相看复欲归
初入长门宫 谓言君戏妾 宁知秋风至 吹尽庭前叶
手把杏花枝 未曾经别离 黄昏掩闺后 寂寞心自知
出身三十年 发白衣犹碧 日暮倚朱门 从朱污袍赤
芙蓉初出水 菡萏露中花 几吹著枯木 无奈值空槎
四望无极路 千里流大河 秋风满离袂 唯老事唯多
戚戚一西东 十年今始同 可怜歌酒夜 相对两衰翁
孤鸾将鹤群 晴日丽春云 何幸晚飞者 清音长此闻
岁去人头白 秋来树叶黄 搔头向黄叶 与尔共悲伤
发白晓梳头 女惊妻泪流 不知丝色后 堪得几回秋
空空古廊殿 寒月落斜晖 卧听未央曲 满箱歌舞衣
妾年初二八 两度嫁狂夫 薄命今犹在 坚贞扫地无
向日磨金镞 当风著锦衣 上城邀贼语 走马截雕飞
不见僧中旧 仍逢雨后春 惜花将爱寺 俱是白头人
萤火飏莲丛 水凉多夜风 离人将落叶 俱在一船中
移舟试望家 漾漾似天涯 日暮满潭雪 白鸥和柳花
有月曾同赏 无秋不共悲 如何与君别 又是菊花时
北苑罗裙带 尘衢锦绣鞋 醉眠芳树下 半被落花埋
新霁洛城端 千家积雪寒 未收清禁色 偏向上阳残
路傍一株柳 此路向延州 延州在何处 此路起悠悠
俱从四方事 共会九秋中 断蓬与落叶 相值各因风
衰鬓朝临镜 将看却自疑 惭君明似月 照我白如丝
野性迷尧历 松窗有道经 故人为柱史 为我数阶蓂
胶胶司晨鸣 报尔东方旭 无事恋君轩 今君重凫鹄
一鸟如霜雪 飞向白楼前 问君何以至 天子太平年
紫塞连年戍 黄砂碛路穷 故人今夜宿 见月石楼中
畏老身全老 逢春解惜春 今年看花伴 已少去年人
今日忆君处 忆君君岂知 空馀暗尘字 读罢泪仍垂
赤白桃李花 先皇在时曲 欲向西宫唱 西宫宫树绿
嫁得瞿塘贾 朝朝误妾期 早知潮有信 嫁与弄潮儿
世故中年别 馀生此会同 却将悲与病 来对朗陵翁
榼小非由榼 星郎是酒星 解酲元有数 不用吓刘伶
居北有朝路 居南无住人 劳师问家第 山色是南邻
石色凝秋藓 峰形若夏云 谁留秦苑地 好赠杏溪君
边头射雕将 走马出中军 远见平原上 翻身向暮云
征戍在桑干 年年蓟水寒 殷勤驿西路 北去向长安
何地可潸然 阳城烽树边 今朝望乡客 不饮北流泉
绣帐博山炉 银鞍冯子都 黄昏莫攀折 惊起欲栖乌
湘江斑竹枝 锦翅鹧鸪飞 处处湘云合 郎从何处归
万事销身外 生涯在镜中 唯将满鬓雪 明日对秋风
绣户朝眠起 开帘满地花 春风解人意 欲落妾西家
金谷园中柳 春来似舞腰 何堪好风景 独上洛阳桥
故国歌钟地 长桥车马尘 彭城阁边柳 偏似不胜春
早雁忽为双 惊秋风水窗 夜长人自起 星月满空江
江上三千雁 年年过故宫 可怜江上月 偏照断根蓬
话旧全应老 逢春喜又悲 看花行拭泪 倍觉下楼迟
献策不得意 驰车东出秦 暮年千里客 落日万家春
