皎,千岩,趣,况
转转,红红,泊,寂寞
言语,早,树,汝作
一东,天边,去道,倒池
海里,岁,天山,常
纤,发,冰裂,落落
直绕,御,内人唯射,苑
蜡烛,铜壶,吹,睡时
墙,绕,罗袖,春风
酒幔,杨,温,中旬
丹,云,翻曲,满
女,挂,浑,玉
叠,钵绕,后,大
云,相,声,不
深,入,吹箫,象
阁,上头,老,寻
西南,花,书记,时
无,溪水,翁,围绕
歌钟,云,长起,山
香,枯松,树,解
新,双袖,须,猎尘
棋,数,沙天,犹
方,管弦,却忆,犹
菱,新,水落平,青草
近,入御,闻闲,意身
满,今别,东西,天边
时节,送,上,见
西,人斜,出,数
半夜,珠露,下堂,晓窗
满,花,雨,蜻蜓
休,爱,无别,残
茱萸,白,重,翁
丁香,千,外人,山
求,花,玉,人
云,隔野,色,铺
深山,三,离军,向溪
万,悠悠,无,还逢
县驿,老,屋,梁
随风,山,愁,中
忘却,雨,台路,见
满,石笋,掩,看画
下游,醉,从胜,向边
总道,前,如今,三
后,寺里,山,行
金,池,山,看雪
千灯,纷纷,似时,晓闻
暂时间,官,龙门,三
知,登山,近,风
趁房,伤,十月,过时
愁,一向,广州,江
雨,村,相唤,花
登,泉,叶声,云
无,床头,一个,不知
池,房前,自惜,根
狂,京华,无,花
玉,千门,吹,还
余,乞荐,夜雪,柴车
无,寒食,莫,花
恩,相逢,方好,同行
蒲作,人,山,天子
啼,故堤,辗过,东西
先,还,言语,尽日
方,松花色,新酒,回
楼,千秋,教,总
酒,今春,半夏,旧
愁,落落,黑,花
少,雨,前,无
近,旧芳,无多,生衣
校,枇杷,扫眉,总
见,刀尺,阁,绿娇
粉,鹤翎,留,宿
竹,睡,主人,新
翠,怨,春风,唱
江城,船,瀑布,蒲潭
老人,京城,供奉,唱
断绝,不免,少,君
鲜明,见,自知,玉
山,光,终,僧房
柳宫,惊动,欠骊山雨,枝头
十三,早蝉,故作,山泉
声,未,教,花
卑,看,安近,易
风光,逢,少,眠
痛少,人夜,常,墙
阁,双塔,无,城斜
苍苔,风雨,中,蔡
看巴,还,暮数,山
树,无声,今夜,不知
聋,空,莫怪,山
城门,白鹿,暮,回
登望,半,素多,无
没,相逢,鹤洞,帆影
乘轺,还家,南康,花
东林,映,船,水照
露,怀惠,郡,花
采薇,草,深山,书雁
灞岸,闻,安,无
才,逅,花,黄
鸣,隐,合,郭
沟,烽火,杨,折桂
古城,寻归,飞处,将军
雁,足,自怜,千
落前,持,发,歌
门,易别,君心,孤帆
目,深,秋,离心
宛聚,成别,影,随阳
闻道,淅沥,树,苓
白,慰,留,钱
傍,开,仙,绿苔
仙,云,不知,人间
冠,笑,黑,无
少,衣,秋山,前射
菅蒯,容,静,步
沧海,看,三,考归
云雨,香,东风,见
出世,即身,流,山
少,繁,树,满
旅舍,静,所为,声
树,半,住天,声
晚霞,条垂岸,留,见
共,禊词,心,暮愁
苍苍,动,张,流向
敢,求,没,蕙
谋身,桃,见,白头人
征,病,迟迟,敢近
爱,来往,溪水,雨涨
惆怅,剩,花,花
身,醉,草,寄
绘,犹,忽遇,天
萏,隈,画,飞池
满,鹂,长短,丝
汉,无,看花独往,经时
□,浮云,不,三
犹,竹数,见月,不知
主人,云峰,近,山
首齐,南,事,鼙
十月,摧残,画,严霜
茕,寒芜,儿童,声
蘋洲,入,风雨,楼
阗钟,发,嵩,满
舟,送,洛妃,空流
风流,云山,今日,醉
郡,无,水色,随宵
剡,绿林,去,草齐
似雪,风光,须,何必
条,龙,歌舞,春
纹,柳垂,年年,逐潮
游乐,霓裳,天,犹有
难眠,帘,无,家
蘋,江神,敢,金钱
唱,藕,愁,篱
春夜,王屋,明月,共
下,累累,还,知
解,花,草,游
豆,笑,霓裳,问
候信,漠,人吹,疑
傍,天,仙,绿苔
看花,数,东风,明月
买,篱,唯有,满
树,山,老,人
哭,城闻,山,舁
游,中,老,山
在荒,花芹,山,明月
销见,吹,上,花
余,春,留,无
霏霏,馆,今宵,先归
玉,拥,建怜,裴
崇文,塞号,雁,纷纷
天,绿槿,无,雨露
散,深,社,看心
条,千叠,争,却
宝,挂六,□,秦地
数,留,长江,相
老,遣,花,烟尘
江南,不诵,折,少
老,秋,木,官道
去,无,发,少
山,近,松树,半夜
荒村,愁,衰,送
住处,眼前,移家,钱
花,岸,罗袖,行人
闻道,难,无,松枝
谢,山,君,争
江南,相,乱,愁
君去,浮云流水,客,别离
金,莫愁,仙,风流
主得,三,满,更何人
细雨,流,香,逐
恨,偏,风雨夜,声
江南,章,相,菱
渡,苍苍,落,送
履,犹苦,送,行路
三,萤过,愁,萧萧
封,征,惟有,相
阑,云,江驿,马嘶
光辉,阑,山,歌舞
人,疆,送,云
繁,翻,见,今
晨,繁,明月,轩
悠悠,雨,半,门
乡台,山,落日,旆旌回
丹,爱江头,步,貔貅
花,银烛,报国,咨
山,换,相,云
深,合,会府,江城
登高望远,花,全盛,空啭
萧萧,上界,持,君不语
壑,深,岁,竹
茱萸,春露,今来,无
风尘,悠悠,清夜,香
肠,信,岐泪,南州
发,见,机琴,惟愿
对愁,春,阴,戴家
池,两难,独,蝉
几度,外峰,今日,知绕
柳,晚日,游客,三月
花,江,发,吹到
柳色,花,由见,掩
淮,天,愁,杨
柳,树流,几度,春风
衡,洛,重门,槐
风,一望,骑,嗷嗷
哢,罗衣,歌舞,啸
源,花仙,事,杨
何年,昔,征车,冥冥
寂,木,仙,吹笙
乡,还,岐,发
满,十,香,树
吹角,月,天,乡愁
月,先知,关山,吹
东风,满,愁,云
琨,征战,云雨,洞庭猿
关,云,府,山
徘徊,苍苍,下,彩
愁,鸾龙,死,上
琪,彩霞,暮,天
寥寥,绿林,蜀,冤
岁,湿莓,闻道,明月
折桂,通,有待,飞鸣
发,频,花,主人
昌家,花,醉,丰
枝梅,掩,女,开
筵惜,闻,早,老
飘蕊,冠军,绝,锁
管怨,留,相,愁
会府,两,共,足
刀州,圣,条,上
重楼,唱,满堂,不惜
蹉,欢,攀折,寒
明月,暮雨,散,人
本神,冰雪,留,珠泪
光辉,恩计,谁料,洒
征,百战,山河,牢
仙,流,相,教
枫,壁,南北,十
龙,树,梨枣,到郊
阡,三,十,三
西城,萧萧,净,留
晓,籁,百啭,梦
沈,初啭,不知,花
悲,归依,恍,中
秋院,影堂,销,无形
僧相劝,叹,树,花
相如,泪,山头,折桂
姓,不,桂,还
干旄,退殊,三,仪制
光,脱,还,衣裳
郡,攀登,莫言,七月
江西,信,发,羡
韦曲,新,暮归,乡
霏霏,花塘,不见,回虚
岁,绝,西垣,香草
花画,岂吾庐,骑,足
逐,还,幸逢,支郎
帔,霞,云,是龟
流,磬,山,共
深山,早,留,龙
云,骠,剑折,侯
隐,青春,去,公车
书,簪组,莫,山
马蹄,映,早,醉
南北,都吏,印七,谣
命,关程,离堂,举终
露,衣,扬州,花
酒且,三峡,无,冠
辉,车,知尔业,今朝
树,心,白云,自古
威仙,谈,今朝,会复
亩,清兴,佳,山
春风,越亭,路,峰
新,剑映,战,数
元,坛,局,输
上,湖边,清,粉
千,中,龙,落帽
斜,秋,新,鸱
道,十月,清,殿照
宝井,丝绠,逐,老
云,愁,计,风雨
天,濑,知处,时有归
开,苔,北海,去
山,缭绕,难裁,落
下马,石,绝,掩
兰芳,花落石磷,白微,见
方,廓,谢,舒
乳,棹橹,看榜,孱夫
佩,交北,鹏作,外
蚊翼,毫端,聊荫,蚁
知,淹,云雨,愁
孤舟,雁,在何,梦
楠,锦茵,恨,人
滩,偏照,连天,寻
楫,候,浦,檗馆
清明,覆,新,点
渡,脉脉,家人,月
飞,相辉,尊,翟衣
晓,相,偏,醉
百花,兹,罢卿,相望
阑,波照,眠,寒
驱,暮涛,滩,毛
深山,明,心,潭水
纡,山,更何,常
送,寂寞,知何,孤舟
深,沈,君,相望
向丘,盛,一阳,寒宵
树,梦,啭,血魂
桂,龙,师,几度
思庭,竹,客,写
消,杏,知,上野
泉,一半,长,花
吹,深日,满,闲
郡,夜添,马,国情
香,白露,无限,阑
枝,篱,好,入秋
情,春草,山,人行
忘归,光辉,覆,云
斑,青山,危槛,尽马
共,乡,笺数,南塘
满,归日,戎静,偃画
亩,清霜,看,南山步
惊,拂尘,眉,行人
柳江,棹,子,符计
淮阳,秋,坐逢,凉
奈,移芳,君,白露
白云,卧,东风,草
洛阳,满,岘,池
左迁,慰,犹,被管弦
游曲,春来,游,深
歇,隔松,主人,黄
登高,篱,好,入秋
灞岸,折,便,莫遣
麹尘,君折,最,吹
玉柱,商怨,时,心
碧松,峰,心事,云
思何,不见,秋堂,云
恨,馀,仁,犹
素艳,天,持,玉花
十,深处,得溪,花
入,光辉,三千,君绣
玉,消,春,肠
深山,明,心,潭水
清景,黄半,花似锦,是看花
何取,游,客,今日
时辈,肺病,事,华发
似锦,争,留,炉
阁,云,平阳,花
映,晴明,风吹,闻道
温,相逢,事,见
松树,用道,声,天
禁,人间,事,墙
占,年,龀,不
花,四面,次,东风
阙,夹御,南北,岂
元,闲,香,玉
花,开,上马,京华
上京,选,先,无
乡,梦,上,坐
满,黄昏,春来,鼎门
凤楼,繁,爱,门
相,往来,自古,洒
三月,白鸥,学山,人作
睡觉,侍儿,脱,耳边
深,犹,花,无
身轻,脱,静,相
黑,惊,丈化,吁
衣冠,草,犹,昭
休,湘,今日,知愁
踊,自古,蘋藻,父扣
爱,牵俗,祝融,生长
桃溪,纷纷,闻道,君
清明,发,相,共
早,因循,扰,休
老,自慎,不知,一鸣
眼明,见,可怜,青苔
见,洪,影,行人
未遍,倒复,满盘,竹
容,环环,说旱,蛟龙
日,白皑皑,瑶迹,沼来
已,尘埃,去,新
双桃,竹见,天,禁
有芳,草芽,晚,花
香,烁烁,觉,宫
紫领巾,科,桑,共
榆荚,篱,迹,得知
树,紫斗,才,漫天
分,践踏,春风,吹
看,香,情思,赠
清朗,游,忽见,相看
雨,蚓鸣,跨,城门
城门,山,韦,今朝一日
童童,彩,画师,知难见
酒,思百计,事,人间
早晚,教,春风,声
占春,闉,花,人
春色,半,柳,乱
困割,亿万,回马,赌乾坤
驰,走马迎,转密,不
荒,台,小寇,天
晓日,空,后,上峥
赤,见,无,镳
相如,先,洧动,晴天
地明,兵,须,贺
罢过,嵩,蔡州,家人
荒山野,鸦,愁,相
老,巨,老,孙
山,扇,迎候,亲破
权,年,相,德格
骑,中,手把命,元功
元,相怜,今朝,不
青黄,烹,洞,乖龙
莫,近,重无归,八千
已,船,未,海气
水松,僧家,一手,把鱼
来久,知名,界,开
随伯,一身,相,无
传业,道,山,衰泪
龙,偶逢,发掘,近
久作,人,金丹,救
禁,冰,先暖,流
安,特地,花,月
树,欲,小园,花
开,白日,满,忙
年,公复,句,去鸟飞
乱师,嫌,无,诗
是林园,叹,幽深,因丞
骨,共,树,中丞
落晖,晴后,清,得归
山,从此,浑,人间
言道,流,中国,乱华
太白,清,解,平
条,云,后花,销
桂魄,未,夜,不忍
重,瑞气,欲献,山
见,挽断,青苔,尽日
阗钟,发,嵩,阁
木,里神,寂,不知
外东流,巴塞,人病,残菊
凉,香,买酒,醉
苍苍,吴,未曾,不知
西北,重重,乡,节旄
王,无,歌舞,先
牂,客舟,此夜,鼓不胜愁
幡出,人待,醉,纷纷
天地,叠,刺,阳春江
醉,宛,繁花,不
聊,相逢,仍,笑杀
晴芦,乍急,孤舟,山头
人间,行时,客,山
不易,难,留,泉
草,草,上,云
吴,地上,宫,花
梁,山,死,学抱
西城,云,风吹,仙
消,绿林,戈,韩
沉沉,哭处,草,斑
兰陵,还,送,柳
流,一生,影,山
上楼,满,醉,树
萧萧,晓,首,秋
天边,西风,今夜,月
年,仙,时花似雪,不
劳相,四十,风动,笑
天,社笑,颐,山
旐,里魂,处州,共
自知,乱,离别,山
风吹,落枝,见,天山
点点,客,起鱼,明月
山,笑,长嫌,渐
春风,去不还,老,山
天,声,上月,袁
春,洞几,客,相
棹,适,在何,落日
笠,解,清猿,当门
玉,予,碧簟,山头
今朝,入时,游人,三
公,忽作,不,三尺
那得,贪,词,相
恩,春,下,无尘
心,驱,孙,下
壁,迹,犹,时
乡,掩,烟景,客
企,千,沾恩,落日
朱,盈筐,上,枝枝
鬓,屋里,逐酒,梁
正是,沾缨,君,共有
昔愿,云,先,上
不,无,阴,幻身
古时,绳床,剃,发
通宵,孙,宰,山
地阔,共,驱,满离
姑,龙,莫怪,夫
方,危,高处,故乡
身,邻,遥知,月
满,邙尘,不见,还
竹扉,常,下,方
利,昨,将军,子
背斜,见所归,晚,先
菊,三,十,三
欲见,漫漫,空,寒
叠嶂,画,长箔,蓬壶
鸿弟,英,黑,风六
莫叹,相看,今夜,人
尖山,愁肠,身千亿,故乡
游尺,弱,岸,看别
名园,发,逐,正是
悲,修门,春风,时
送,长亭,高阳,满
十一,四千,逐阳,驿路
鼓鸣,惬舜,重,音
万事,今朝,许归,翁
檐,情,使伶,写
羁,秋意,百花,满庭
珠,违,分,飞
雨声,山,知,涂间
寄庾,劳手,闻道,鸡
新,树,唯娇,迹
无,名,添,声
余,荒墟,唯有,此后
高僧,佩,不知,金英
生意,往事,三,相看
山,牁,君远,三千
占,今日,长作,前
樱,仙,相,小儿
玉流,遥,湘,采
南州,隐,声,敲
雨,渡,水,树
爱芳,朱,休,看成
不日,岁,釐,成
思何,不见,方,梧
望见,花,信,幸平
重来,荣,初入,岂念
花,忽,君过,犹
驻,醉,逐,发
西北,上,茂陵,合
山,发,人夜,昭潭
曲,天台,岫,不逍
悠悠,六朝,野,深
深山,关身,多买,东城
看金,玉山,高阳,星星
翩翩,汉,欲报,王
旗猎,唱,铜壶,老翁
平,太,秋光,凤
卧龙,客,十,今夜
面,不道看花,千,栽
中半,开,道士,前度
唱,唯,先辈,生
夫,相,几千,只似
渡,云,休,无
故国,寂寞,时月,还
花,夕阳,王谢堂前燕,寻常
豪华,最,野草,花
鬼神,不扃,坐,明月
朝词,归来,树,至今
兵机命,叹,登坛,思怕
省,惊喜,如日,高
入境,汉,开,知名
逐客,血,妃,深
行,京城,旧吏,留
帝,乐不胜,戡,唱
娘,奉,人见,分付
应遇,别人,多情,强
前,上,牡丹,京城
秦,晋臣,无,丹
坛,白鹿闲,发,山
树,传,故吏,前
落路,天丹,安,百花
满壁,松树,文度,道
人间,合,颜色,花
象,次,风月,云雨
玉,陵,树,萧萧
高髻,韦娘,浑,肠
金镮葬,草,芙蓉,滴清池
步步,阑,天,游人
遥,步,无,年
逐臣,归来,醉,老醉
下,一院,中庭,玉
相见,梦,每遇,少
何日,稀,暂时,云
送,虎丘,早,世间
花面,绰约,买,步步
关心,伤神,洛阳,花
花,开时,道,春明
造,恋,沧海,吹
年,笙,丘袖,天
封,酒远,尽日,残
最,花,相,佳
睡,仙,莹,似
楼,的知,迟迟,坐右
发,逸,雨,江西
安,争望,娥酬,天下
官,寒,多情,花
写,京城,事,花
远州,流,笑,愁
虹,殿中,飙,拂
花,封,通籍,闻
鸾阙,沧,金,招魂
印,登山,未,孤
偏切,桐韵,留,心事
平安,羽,闻道,战场
征,书信,山上,自此
玉,须,老,若为情
琅玕,瑁,未,逢
苍,游,树,人间
汉秋,梧,月,霓裳
魂,忽报,此夜,睡
月,金,倾,何必
春日,雁,戏,江南
日日,论付,元,手
小儿,壁,犹,夫人
日慵,写,渐,抗行
弱,岐,老,万事休
满,雁,千万,共
蜀,见,礼拜,诀
春台,老,态,嫌憔
弦,含,曹,京城
鬓,白,相思不相见,频
烟景,树,犹有,水鸟
不,主心,全,重
一百尺,十三,市里,明月
仙,自泫,莫怪,三
寂,茅,将军,篱
中才,住,新,五陵
奉天,佩,张,桥
芽,封,今宵,满
威,乡村,见,庙门
相,无,翠,盘
条,板桥,美人,无
上,云齐,去,天向
落晖,书信,商山,少
粉,成尘,危,人
醉,仙,金,紫笋
丁丁,漫漫,响,寄
沉,檠怨,草,经雨
喜气,静,天子,当今
门,映,不知,笑
罢,栖,惊破,半夜
沉沉,恣,留,羡山
游,仙,幸,早
都,鱼,无,古
车,花,羸,深山
会,夫,满堂,西隅
香,笑声,无,情
布帛,识信,嘱,蒲
悠悠,合为,近,相望
春兴,无,时,影
玉墀,支离,今朝,遥
中习,扰,闻,转忆
尽日,半夜,指南,红
人,天,意速,马著
浮沉,问仁,留,亭
河州,遗,匝,发
忠,谁道,起兵,最先
舰,全,小儿,争
成婚,明珠,天,鼎峙
迟迟,晴晖,分为,峰
忆年,闻,殷勤,袁师
倚,契心,今日,相逢
青萍,曳,定,君
孤童,散,山,君泪
黄溪,樱,江城,月
碧池,留,半夜,上
相,困,蝶,只
霏霏,朝日,神仙,逐
岁,星星,早,知不作
抛,三十,辜负,断
成尘,汲井,带花,不知
起复,夜长,风吹,如镜
年华,习,寥,微雨
年华,在咄,岁,花
丈夫,送,报,休
春,成角,蝉,劳
夸,放荡,得意,花
天津,人行,疏楼阁,明
寄,天,愁,乡
今,不,成泣,东风
方,将齰,十,寝门
梧桐,架辘,天,瓶
湘渚,春光,王,歌舞
近,新雨,酒家,爱
沉沉,凫,醉,持
长江,大,树,船
满池,鸣,唱曲,昨夜
蜀,发,桥日,猩
游,绵绵,离别,客路
人斜,宫,千千万万,不知
翠,沙,巡,最
中入,竹棚,无,州
肩,深,送,愁
陂鱼,出琴,胜,床
稀,沐锁,相,禁
恨别,新,中语,旧
玉,辉,烟灯,人
北,消,应,解闲
殁,过街西,到子,相
院里,最,今日,寺
校,风光,里,犹
刘,老,住,老夫
身,烛,华严经,到寺
一十馀年,相逢,事,摩
北,送,君别,新
容身,更新,选,学仙
无,钱,身上,君
秋雨,稀野,书,人作
高,选僻,醉,读闲
已,证,双溪桥,威
向争,街西,一千,白头
台下,老峰,旋,来请莫
闻道,师,事须,最
天,药房,静,下
开州,作药人,惭愧,三千
石,读仙,身,见
到益,流,杜家,到浣
长安街,吴州,旧宅,君
病,家池,东西,别人
投,十,谿路,稀
悠悠,相逢,杨,留
尽日,演漾,重,山
又客,旧尽,刘,频频
出门,赠,倚来,得时
旧宅,歌舞,四十,愁
客,满,蓝田县,强
合,征夫,今日,骑
欢乐,天,暂病,蝉
南园新,花,看,重重
人,中,身,坐
红,看觉,客道,明年
无数,观,花,墙壁
城门,朝来,走,报
竹,共到,官,求
城,逐,须,中语
玉峰,对驿门,骑,游
无限,觉,欲,花
登南省,犹,余,曹
见,意万,忽,发
犹未有,初程,爱,相离
新雨,云,客天,山山
花,郭,君,过时
客,相,携琴,时
温泉,树,欲,墙
无,人间,教,台下
人间,独过,犹断,菊花
甘泉,栽,身,眠
上秋风,梧,千,相逢
晓,瑞云,新雨,开
束,无,应少,转忆
五度,寺里,处处,看花
青崖,仙,客,犹
一去,见,迁,花前
相逢,叶霜,子夜,知
发,离身,征,莫遣
紫阁,成,见,有田
谒陵,登,后,读
间,身,共,山
扫眉,稀,画罗金,衣
黑纱,坐,剪样,书堂
讲,本寺,静,竹
相,亦,送,游
声,缝,今朝,樱树
无,坐,香,影
庙,纷纷,手把,遣
满,居,花,不作
金光,竹,禁,开门
觉,未,合,先
君去,亡,白头,犹见
花,已斜,遍,马蹄
日,逐,下,蒲
弱,头不见,香火,礼拜
云锁,刹,漠,纸
桃溪,下,王,犹
山,我庭,半夜,月
无,深松,静,重重
为贵,竹,香火,看花
草,日,女,海神
剡,旄十二,自说,峰
草平,堤,日,问向
身,净衣,堪,南山北
女,自知,人间,万金
无,寒食,莫,花
上五,弱,寒食,□
相逢,重,君何,石
楚,波,倒且,天
无限,成人,犹及,俱
最,客,岁,岁
鹭,自急,翘足,不知
十三徽,庖羲,月,松
根枝,龙笙,一番,尊
蒸毒,欲霜,物,张
山,恩,走,其门
无粮,乡,古城,金疮
饮泉,山,坡,眠
里,花,剑,病
淡光,桂枝,和气,已
繁,学,老,白日
扑,风醉,胡,今日
阙,无毒,秦,雄
骏,海外,云望,新
针,相,教,还
扶桑,人间,见,刀
遽,鸦,见,白光
削,上,明月,张幕
孩提,白尔,寄取,路行
稀,孙翁,不知,向此
曲同,伤花不为,零落,十
坊,扶行,醉,觉
极,影,今夜,后堂
香销,亡,君,似
独,问,不语,洞庭湖
雨点,去何,未,人间
净,賸,声肠,声
十月,淋漓,莫,花
浩浩,送,界,世人
陶家,篱边,中,花
日日,寻,无,逐
阙,峰,流光,纷纷
频,阶尘,掩,见
樽前,三,花,荡
菲,随车,能语,那藉
不,筹,觉,夜愁
闻道,盘,深,到醒
竞醉,不,春日,虚度
意速,缓归,偏遇,风前
见,不,知下药,一卮
初,始,遥相忆,泥黑
酒,愁,俱,复
醒,觉,满,还
推事人,上炼,源,春
史,辜负,颠,乱
无,向愁,满,老
半斜,竹,花,花
著家,年华,定,树
频,方,灯前,人
花,炫,天女,今朝
赠,已度,深,相亲
检身,吾徒,事,吐
少,从善,刘,树
奉,求,无,满
洛阳,轩,山前,满
上,绽,风雨,满
见,西栏,相忆,红雨
君休,如星,毕竟,长年
山,空,静,古
紫垣,衣,阁,骑羸
春来,千,忙,数
东山,启洞,犹疑,知名
余声,成,可怜,阑
阙,春,君,山
居,就权,野人,满
相见,有闲,外物,关心
风轻,次,上,一身
平阳,事事,深,浑
江头,游,排,身
流不息,漫漫,不语,来江
梁,汉江,听时,西县
多情,月,山,还行
山,临江,仲,牢
水东,风,断,流
清明,撩,成,未
堆案,眠,子,枕前
峨眉,威,时节,酒楼
犹,鼓声,疑,牢
三月,边望,料,归来
白云,还,三百韵,人间
花枝,花,李员,更
洛阳,满,平时,游
残纸,司,不忍,半封京
邀闲,玉,大江,天
送,寸,处,片
澹柳,池,今日,中
冬景,山,无限,玉
奉,只,今日,衡
岳阳,玉,春,西江
小来,共,江风,湘州
湲,半夜,颠,月
送,羡,送,尘
花,孙,事,故园
次,柱,相,代
事,有限身,二百,几多
减,深,馀,不经心
三千,条,还自灭,销
送,情,到沣,一身
长学,人间,无,治心
阅,憧利,限,人行
下,穿江,信,扬州
孤吟,欢,近,风雨
平,无,檐,心
影幢幢,谪,病,风吹雨入
老,通州,同入,说城
休,暗复,船,寒夜
帐,油,天,人间
山头,江路,使江,知
写,写,壁,知
出峡,江州,最,莫
信,妻,寻常,江州
尚拟,还,相,树
修到,闻,销,无
山,郡,睡,买
相逢,我到,剩,君
寒夜,犹,应闲,睡
战尘,频,俱,见
风流,此日,无限,莫
年别,何日,休,匹
危,差池,郡,深
风吹笋,花,日,池
断绝,相闻,倒,不
玉,星星,君,夜夜
山,思,今何,看
西江,欲,睡,山
赠,知,共,满墙
处处,云,纤细,文
醉,病,倚破,春
塞,敛,来相劝,云
红,不待,孩提,北来
工,巴吏,有来,黄
束,报,得见牛常,佩
犹,那论,白头,威
三十,一望,李常,教
银台,早,杏园,同州
情,稍怜,为报,条动
怨,闻,无子,宣
邻境,符,相逢,无
唱,君词,江头,月
晚日,望郡,何日,暮
听苦,欲何,外,衰
十,咏万,今宵,晓闻
张,凄然,御,不
沉,深,满,衾
大都,树,春来,花
旋手,音声,未必,时
夜深,绕行,明月,桐
官,看,树,未折
竹渡,感别,物,送
欲,醉,□,情
莫画,红,解争,大须
英,宣,天子,宫
闲,共,朝士,见
玉树,教,觉,得知
欠,碧云端,得姮,细看
梨,鸡,寒食,秋千
劝尔,青丝,云山,时
逐,留仙,堪,影堂
青苔,暮雨,独吟,近
情,自营,城东,信
仙,自知,醉,空枝
莫,天津,往事,伤神
科,鸡,吹,中庭
明月,邀,秋坛,今夜
少,二,今朝,君
刘,满,朝来,家
发,多情,满,开
今朝,尽日,春,黄昏
红胜,公家,君须,花
根,种,无,花
自怜,频,去不得,满
酩,最芳,花,刘郎
醉,披衣,中庭,影
深,狂,共醉,犹
昆明路,信,日,归来
云,共蹋,无定,山
风尘,深,君,三
云,树,度见,山
役,尘,山,无
羡,羽翼,丹台,人间
欲,翠色,马九衢,山
吹,叶雪,校,花
满,无,轩,人
战后,满,流,依旧
自知,老发,去,作
科,芸阁,心,水
邯郸驿里,抱,坐,应
买,花,教,相
人间,五六,全,爱
首馀,句句,持,公卿
掩,深山,怪长,暮间
校,山,犹,动
故园,余,兄弟,封
骑,游,明月,愁
共,愁,还,秋
梨花,愁,邻,月
深少,披衣,扫,蹋
身,伤神,手,见
寒食,春愁,马上,香
麈尾,剥落,老,几许
无定,如今,老,翁
不,回头,楼上,愁
十一月,远行,杨,身
老别,身,见,白头人
炉火,夜长,相见,情
上,却吟,春萝,心
裁,截作,草,纷纷
满满,纷纷,三十,岁
思夕,蛩,风月,今夜
酩,处,深,多情
去何人,客,无,树
同醉,筹,去,今日
山,人间,笑,食何
秋景,慵,山,无
共持,满,思,尽日
马,鄙夫,天,无
无力,声,少,下马
明月,牡丹,人间,四
无月,犹立,惊年,欠
去,风吹,树,枝
知,月,坐,树影
万端,封,宫,窗灯
茎,未,满,我十
三日,一身,经年,出
纷纷,三,不知,无
岁,翁,山计,村
无尘,安,看心,看
重,问答,妄,无
醉,君,银杯来,不曾
无,雨打,见,前
太白,云,未报,北山
旧峰,今朝,共道,山
相逢,频,去,何人
花,今夜,残芳,月
壁,污,多情,绣衣
平阳,马郎,似升平,低头
吹,故园,堪头,睡
客,三,道,身
柳,扑,两处,人
梨花,杀,最,裙
千,欲二,忘,竹
新,渭水,瓯,人
鸿过,出门,东北,黄昏
条桑,半,村,捣衣
发,平,根深,应
城门,高,犹,曹
农夫,斑手,人,送
病来,薄,蔚章,时
千,十一,见,上破
治不得,心,愁,红尘
屋,无人问病,著作,尚
笺,君,不展,开
前,坐彻,会,长
黄昏,花,心,秋天
苍苍,村,田,月
绵绵,天,睡,卧
短夜,热,堪,早眠
漠,凉,往事,君
春来,点,唯得,读
寄,著杖,无出,人
酒,骑,平,州
春,稀人,影,犹
减一日,无,犹,今朝
恩,病,哭处,门
迁,监,张太,旧
发,草,悟,少
相逢,旧戟,仲,见
少,深,爱酒,时
游,条,师,消
眉,人,安,私
风吹,云,月,武雪
句,未年三十,常,幸
树,花,红似,得属
渐,入,应,山
太,东家,落日,岚映
换得,栽,西风易,送
蒲池,兀,城门,恨
初年三十二,难堪,重入,鬓愁
近来,因醉,谁料,变
满,浸莎,塘,少
朱,爱人,诗人,不姓
天,休,最,梁阁
开,不入,共,君来
似雾,薄于,但知著,犹
无,牡丹,赞善,官
老大苦,离心,消,何入
条,阑,主,花
台,辉,早,明月
避暑,禅,禅,凉
白发,花,兼身,尊前
草,迟迟,立,吹
蓝桥,去,到驿亭,觅
北涧,秋,行少,犹
停三日,相,犹,妇
同路,知,三四,榴花不见见
鹦鹉,桃花,皆,身
逃,舒,精灵,江州
休,沉沉,强健,强健
衰,垂,双白鹭,上
大江,小,水仙,虚词
乡,茫茫,渡,洛阳
三,中载,南北,明月
恨,扫青,傍,老
还,棱棱,浦,荻花
卷灯,天,灯,风吹浪
烟火,舍,饥渴,云粉
方,少,子,本乡
销妄想,狂,秋月,争
云,愁,弹,江州
双华,浔阳西,犹,黄昏
天,山,桑,西林
水,柳梢,江西,乡
重,风光,其奈,断
纷纷,急,来怅,上
非吾宅,樱,多五,见
一丛,紫,爱,少
村,开关,故来,山
流,浸,温,金
威,暑,凉,至今
影,香,天池,于野
树,前委,明月,犹校
眉开,无,刺史,觅
身,巾,画,香炉
游,长沙,处长,兹
人间,始,无,不知
亭,早荷,发,鸶
建昌,人唤,蔡渡,草
尉,母年,消,金
东掖,今作,坐,往事
送醉,君,君,香炉
东林寺,数,言,老
舌,塞月,犹眉敛,闻
法,种种,未,风月
树山,花,争,庭前
拂,风,弄,骚
临风,相闻,不知,三
泉,萦村,池,君
龙,青鬐,见,为鱼
渠,学,二郎,鬓
未济,劳心,物,消
荑,风雨,墙,荠
病,今朝,醉,春风
江州,老刘,敬寺,魂魄
菩,电,从师,主人
事,无,共嵩,赌酒
游,荒,岁,无
作障,勘,争,价
盈寺,我题,知何,大海
长年,如云,朱,不
